ACCT 2301,Principles of Financial Accounting
DANC 2308,Design Elements for Dance
DANC 2309,Dance Production II
DANC 2323,Dance in Film and Cinematic Media
DANC 3103,Junior Seminar in Somatics
DANC 3107,Intermediate Hip Hop Dance
DANC 3203,Contact Improvisation
DANC 3302,Intermediate Advanced Technique and Theory
DANC 3306,Dance Composition III
DANC 3310,Dance History I
DANC 3311,Dance History II
DANC 3312,Stott Pilates Intensive Mat Certification
DANC 3314,Technology in Dance
DANC 4110,Dance Ensemble
DANC 4197,Selected Topics
DANC 4198,Independent Study
DANC 4204,Jazz Dance III
DANC 4298,Independent Study
DANC 4302,Advanced Technique and Theory
DANC 4305,Senior Project with Career Management
DANC 4307,Teaching Dance in Education
DANC 4308,Teaching Dance Skills
DANC 4330,Career Skills for the Practicing Dance Artist
DANC 4331,PR and Marketing Entrepreneurship for the Arts
DANC 4397,Selected Topics
DANC 4398,Independent Study
DIGM 1300,Introduction to Digital Media
DIGM 1350,Graphics for Digital Media
DIGM 1376,User Experience (UX) Principles
DIGM 2325,Information Technology Applications for Digital Media
DIGM 2351,Web Design
DIGM 2352,Digital Photography
DIGM 2353,Page Layout and Design
DIGM 2357,Content Strategy & Development
DIGM 2376,User Experience (UX) Principles 2
DIGM 3152,Graphic Communication Output Lab
DIGM 3252,Graphic Communication Output
DIGM 3326,Big Data Analytics for Digital Media
DIGM 3350,Graphic Communication Production Processes
DIGM 3351,Individualized Communication Processes
DIGM 3353,Visual Communications Technology
DIGM 3354,Principles of Visual Production
DIGM 3355,Package Technology
DIGM 3356,ePublishing
DIGM 3357,Social Media Applications and Analytics
DIGM 3358,Augmented and Virtual Reality
DIGM 3370,Two Dimensional Computer Generated Imagery Animation
DIGM 3374,Video Production 2
DIGM 3399,Senior Honors Thesis
DIGM 4350,Venue Transmedia
DIGM 4351,Portfolio Development for Digital Media
DIGM 4371,3D Modeling and Animation
DIGM 4372,Digital Media Production Management
DIGM 4373,Photographic Tone and Color Reproduction
DIGM 4375,Package Design
DIGM 4376,Integrated Media
DIGM 4378,Senior Project
DIGM 4379,Transmedia Marketing
DIGM 4381,Mobile Application Design
DIGM 4382,Simulation and Gaming
DIGM 4390,Current Issues in Digital Media
DIGM 4396,Internship in Digital Media
DIGM 4397,Selected Topics in Digital Media
DIGM 4398,Independent Study
DIGM 4399,Senior Thesis
ECON 2301,Principles of Macroeconomics
ECON 2302,Principles of Microeconomics
ECON 3320,Introduction to Economic Data Analysis
ECON 3332,Intermediate Microeconomics
ECON 3334,Intermediate Macroeconomics
ECON 3340,Comparative Economic Systems
ECON 3341,Russian and Chinese Transformation
ECON 3342,Global Issues in Economic Development
ECON 3344,History of Economic Doctrine
ECON 3347,Capital Market Economics
ECON 3348,"Food, Population, Agriculture and the Environment"
ECON 3350,American Economic Growth
ECON 3351,The Economics of Development
ECON 3357,Data Management with Economic Applications
ECON 3361,Economics of Globalization
ECON 3362,Mathematics for Economics
ECON 3363,Environmental Economics
ECON 3365,Labor Economics
ECON 3368,Economics of Health Care
ECON 3370,Introduction To Econometrics
ECON 3371,Economics of Money & Banking
ECON 3377,Economics of Public Finance
ECON 3385,Economics of Energy
ECON 3389,Topics in Contemporary Economics I
ECON 3399,Senior Honors Thesis
ECON 4198,Independent Study
ECON 4298,Independent Study
ECON 4321,Economic Analysis of U.S. Legal System
ECON 4331,Economics of Gender
ECON 4335,Economic Growth Theory
ECON 4338,Regression Causal Modeling and Social Science Data Mining
ECON 4345,Social Economics
ECON 4349,Introduction To Game Theory
ECON 4360,Intro-Mathematical Economics
ECON 4363,Political Economy
ECON 4368,International Monetary Economics
ECON 4370,International Trade
ECON 4372,Economics of Education
ECON 4373,Economics of Financial Crises
ECON 4374,Behavioral Economics
ECON 4376,Industrial Organization
ECON 4377,Urban Economics
ECON 4378,Chinese Economy
ECON 4385,Monetary Policy
ECON 4389,Topics in Contemporary Economics II
ECON 4390,Economics Internship
ECON 4395,Selected Topics in Applied Econometrics
ECON 4398,Independent Study
ECON 4399,Senior Honors Thesis
EDUC 1301,Introduction to the Teaching Profession
EDUC 2301,Introduction to Special Populations
EDUC 3101,Practicum for Preservice Teachers
EDUC 4311,Student Teaching and Integrated Technology: Elementary
EDUC 4312,Student Teaching and Integrated Technology: Elementary
EDUC 4313,Student Teaching: Early Childhood Education
EDUC 4314,Student Teaching: Secondary
EDUC 4315,Student Teaching: Secondary
EDUC 4316,Student Teaching: Art - Elementary
EDUC 4317,Student Teaching: Art - Secondary
EDUC 4318,Student Teaching: Music - Elementary
EDUC 4319,Student Teaching: Music - Secondary
EDUC 4322,Student Teaching: Theater - Elementary
EDUC 4323,Student Teaching: Theater - Secondary
EDUC 4324,Student Teaching and Integrated Technology: Middle School
EDUC 4325,Student Teaching 4-8 2Nd 7 Wks
EDUC 4511,Student Teaching and Integrated Technology-Elementary
EDUC 4512,Student Teaching and Integrated Technology-Elementary
ECE 1197 ,Selected Topics
ECE 1397 ,Selected Topics
ECE 2100 ,Circuit Analysis Laboratory
ECE 2197 ,Selected Topics
ECE 2201 ,Circuit Analysis I
ECE 2202 ,Circuit Analysis II
ECE 2397 ,Selected Topics
ECE 3155 ,Electronics Laboratory
ECE 3197 ,Selected Topics
ECE 3317 ,Applied Electromagnetic Waves
ECE 3318 ,Applied Electricity and Magnetism
ECE 3331 ,Programming Applications in Electical and Computer Engineering
ECE 3337 ,Signals and Systems Analysis
ECE 3340 ,Numerical Methods for Electrical and Computer Engineers
ECE 3355 ,Electronics
ECE 3364 ,Circuits and Systems
ECE 3366 ,Introduction to Digital Signal Processing
ECE 3397 ,Selected Topics
ECE 3399 ,Senior Honors Thesis
ECE 3436 ,Microprocessor Systems
ECE 3441 ,Digital Logic Design
ECE 3456 ,Analog Electronics
ECE 3457 ,Digital Electronics
ECE 4113 ,Energy Conversion Laboratory
ECE 4115 ,Control Systems Laboratory I
ECE 4117 ,Telecommunications Laboratory
ECE 4119 ,Solid State Devices Laboratory
ECE 4197 ,Selected Topics
ECE 4198 ,Independent Study
ECE 4298 ,Independent Study
ECE 4335 ,Electrical and Computer Engineering Design I
ECE 4336 ,Electrical and Computer Engineering Design II
ECE 4339 ,Physical Principles of Solid State Devices
ECE 4363 ,Electromechanical Energy Conversion
ECE 4371 ,Advanced Telecommunications
ECE 4375 ,Automatic Control Systems
ECE 4397 ,Selected Topics
ECE 4398 ,Independent Study
ECE 4399 ,Senior Honors Thesis
ECE 4437 ,Embedded Microcomputer Systems
ECE 4498 ,Independent Study
ECE 5113 ,Microwave Engineering Laboratory
ECE 5114 ,Antenna Engineering Laboratory
ECE 5115 ,Control Systems Lab II
ECE 5119 ,Nanotechnology Laboratory
ECE 5120 ,Nanomaterials Engineering Laboratory
ECE 5121 ,Nanofabrication Laboratory
ECE 5127 ,Power System Analysis Lab
ECE 5180 ,Power Electronics Laboratory
ECE 5197 ,Selected Topics
ECE 5311 ,Introduction to Machine Learning
ECE 5317 ,Microwave Engineering
ECE 5318 ,Antenna Engineering
ECE 5319 ,Introduction to Nanotechnology
ECE 5320 ,Introduction to Nanomaterials Engineering
ECE 5321 ,Introduction to Nanoscale Design & Fabrication
ECE 5330 ,Introduction to Robotics
ECE 5335 ,State-Space Control Systems
ECE 5340 ,Introduction to Well-Logging Techniques
ECE 5346 ,VLSI Design
ECE 5354 ,Digital Video
ECE 5356 ,CMOS Analog Integrated Circuits
ECE 5357 ,Introduction to Cybersecurity
ECE 5358 ,Modern Optics and Photonics
ECE 5367 ,Introduction to Computer Architecture and Design
ECE 5377 ,Power System Analysis
ECE 5380 ,Power Electronics and Electric Drives
ECE 5384 ,Micro-Nano-Electro-Mechanical Systems and Nano Devices
ECE 5385 ,Smart Grid Technology
ECE 5388 ,Renewable Energy Technology
ECE 5397 ,Selected Topics
ECE 5436 ,Advanced Microprocessor Systems
ECE 5440 ,Advanced Digital Design
ECE 5451 ,Principles of Internetworking
ELET 1400,Circuit Theory and Lab I
ELET 1401,Circuit Theory and Laboratory II
ELET 2101,Poly-Phase Circuits and Transformers Laboratory
ELET 2103,Digital Systems Laboratory
ELET 2105,Semiconductor Devices and Circuits Laboratory
ELET 2300,Introduction To C++ Programming
ELET 2301,Poly-phase Circuits and Transformers
ELET 2303,Digital Systems
ELET 2305,Semiconductor Devices and Circuits
ELET 2307,Electrical-Electronic Circuits
ELET 3107,Electrical Mach & Control Lab
ELET 3112,Rotating Machine Controls Laboratory
ELET 3300,Applied Mathematics in Engineering Technology
ELET 3301,Linear Systems Analysis
ELET 3307,Electrical Machines & Controls
ELET 3312,Programmable Logic Controllers & Motor Control Systems
ELET 3402,Communications Circuits
ELET 3403,Sensor Applications
ELET 3405,Microprocessor Architecture
ELET 3425,Embedded Systems
ELET 4103,Power Distribution and Transmission Lab
ELET 4105,Senior Design Lab in Electrical Power Engineering Technology
ELET 4126,Power Converter Circuits Laboratory
ELET 4198,Independent Study
ELET 4208,Senior Project Laboratory
ELET 4300,Unix Operating System
ELET 4302,Data Communication Systems
ELET 4303,Computer-Based Power Distribution and Transmission
ELET 4304,Control Systems
ELET 4305,Senior Design in Electrical Power Engineering Technology
ELET 4308,Senior Project
ELET 4309,Object-Oriented Applications Programming
ELET 4310,Alternative Electrical Energy Sources
ELET 4315,Telecommunications
ELET 4317,Computer-Based Electrical System Protection and Safety
ELET 4319,Electrical Power Systems and Industry Practices
ELET 4325,Advanced Microcomputer Networks
ELET 4326,Power Converter Circuits
ELET 4327,Optical Circuits
ELET 4332,Physiological Systems Modeling and Simulation
ELET 4345,The Principles and Applications of Fuel Cell Technology
ELET 4350,Overview of Computational Health Informatics
ELET 4351,Biomedical Data Mining
ELET 4352,Computational Tools for Technology
ELET 4353,Statistics for Engineering Technology
ELET 4354,Biomedical Image Analysis
ELET 4355,Biomedical Signal Analysis
ELET 4356,Information Visualization in Engineering Technology
ELET 4360,Sustainable and Resilient Technology Development
ELET 4397,Selected Topics in Elet
ELET 4398,Independent Study
ELET 4421,Computer Networks
ELED 3320,Survey of Literature for Children and Adolescents
ELED 3322,Elementary Reading and Phonics Instruction
ELED 4310,Reading and Language Arts in the Elementary School
ELED 4311,Science in the Elementary School I
ELED 4312,Science in the Elementary School II
ELED 4314,Mathematics in the Elementary School I
ELED 4315,Mathematics in the Elementary School II
ELED 4320,Social Studies in the Elementary School
ENRG 3310,Introduction to Energy and Sustainability
ENRG 3311,Fundamentals of Sustainability
ENRG 3312,Politics of Energy and the Environment
ENRG 3377,"Energy, Society and the Middle East"
ENRG 4302,Energy Supply Chain
ENRG 4320,Case Studies in Energy and Sustainability
ENRG 4397,Selected Topics in Energy and Sustainability
ENRG 4398,Independent Study in Energy and Sustainability
ENGI 1100,Introduction To Engineering
ENGI 1101,Engineering Success
ENGI 1197,Selected Topics
ENGI 1331,Computing and Problem Solving for Engineers
ENGI 1397,Selected Topics
ENGI 2197,Selected Topics
ENGI 2304,Technical Communications for Engineers
ENGI 2334,Introduction To Thermodynamics
ENGI 2397,Selected Topics
ENGI 3197,Selected Topics
ENGI 3397,Selected Topics
ENGI 4197,Selected Topics
ENGI 4198,Independent Study
ENGI 4397,Selected Topics
ENGI 4398,Independent Study
ENGR 1304,Engineering Graphics
ENGR 2301,Mechanics I (Statics)
ENGR 2405,Circuit Analysis
ENGR 2406,Fundamentals of Digital Logic
EGRP 1120,Design Laboratory
EGRP 1121,Design Laboratory II
EGRP 1130,Engineering Applications I
EGRP 1131,Engineering Applications II
EGRP 1140,Engineering Applications III
EGRP 1141,Engineering Applications IV
EGRP 1142,Engineering Applications V
EGRP 1150,Engineering Applications VI
EGRP 1151,Engineering Applications VII
EGRP 1165,Engineering Workshop
EGRP 1170,Engineering Applications IX
EGRP 1180,Engineering Applications X
EGRP 1181,Engineering Applications XI
EGRP 1182,Engineering Applications XII
EGRP 1183,Engineering Applications XIII
ENGL 1301,First Year Writing I
ENGL 1302,First Year Writing II
ENGL 1370,Freshman Composition II-Honors
ENGL 2305,Intro To Fiction
ENGL 2306,Intro To Poetry
ENGL 2307,Intro To Drama
ENGL 2308,Studies in Non-Fiction Writing
ENGL 2314,Literature and 21st Century Identities
ENGL 2315,Literature and Film
ENGL 2316,Literature and Culture
ENGL 2318,Creation and Performance of Literature
ENGL 2320,Introduction to Digital Humanities
ENGL 2321,"Writing, Technology, and Social Media"
ENGL 2322,British Literature I
ENGL 2323,British Literature II
ENGL 2324,Writing the Arts and Visual Media
ENGL 2325,Lit Trad of Nonwestern World
ENGL 2330,Writing in the Discipline of English
ENGL 2332,Western World Literature I
ENGL 2333,Western World Literature II
ENGL 2340,Cosmic Narratives
ENGL 2350,Writing the Global City
ENGL 2360,Western World Lit I–Honors
ENGL 2361,Western World Lit II–Honors
ENGL 3300,Ancient & Classical Lit
ENGL 3301,Intro To Literary Studies
ENGL 3302,Medieval Literature
ENGL 3304,Chaucer
ENGL 3305,English Renaissance
ENGL 3306,Shakespeare-Major Works
ENGL 3309,Renaissance Drama
ENGL 3312,Lit-Restoratn&18Th Cen
ENGL 3313,Restor and 18Th Cen Dra
ENGL 3315,The Romantic Movement
ENGL 3316,Lit of Victorian Age
ENGL 3317,The British Novel Before 1832
ENGL 3318,The British Novel Since 1832
ENGL 3321,Modern British Lit
ENGL 3322,Contemporary Novel
ENGL 3323,Developmnt of Literary Criticism and Theory
ENGL 3324,The Development of the Novel
ENGL 3325,Structures of Poetry
ENGL 3327,Masterpieces of British Literature to the Eighteenth Century
ENGL 3328,Masterpieces of British Literature from the Eighteenth Century
ENGL 3329,Beginning Creative Writing: Fiction and Poetry
ENGL 3330,Beginning Creative Writing: Fiction
ENGL 3331,Beginning Creative Writing: Poetry
ENGL 3332,Beginning Creative Writing: Nonfiction
ENGL 3339,Student Literary Journal Practicum
ENGL 3340,Advanced Composition
ENGL 3341,Bus & Prof Writing
ENGL 3343,Advanced Composition: Style
ENGL 3345,Nobel Prize Winners in Lit
ENGL 3347,Classics of Adolescent Literature
ENGL 3348,Thoreau
ENGL 3349,Native American Literature
ENGL 3350,American Literature to 1865
ENGL 3351,Am Lit Since 1865
ENGL 3352,19th Century American Fiction
ENGL 3353,Modern American Fiction
ENGL 3354,Contemp Amer Fiction
ENGL 3358,Hong Kong Cinema
ENGL 3360,Survey of African-American Lit
ENGL 3361,Mexican American Lit
ENGL 3362,Women in Literature
ENGL 3363,African-American Fiction
ENGL 3364,African-Am Poetry and Drama
ENGL 3365,Postcolonial Literature
ENGL 3366,Jewish-American Literature
ENGL 3367,Gay and Lesbian Literature
ENGL 3368,Topics in Asian American Literary Studies
ENGL 3369,Caribbean Literatures
ENGL 3370,Modern Irish Literature
ENGL 3371,Contemporary Irish Literature
ENGL 3379,African Literature
ENGL 3380,Modern Indian Literature
ENGL 3396,Selected Topics
ENGL 3399,Senior Honors Thesis
ENGL 4300,Intro-Study of Language
ENGL 4303,Teaching English as a Second Language
ENGL 4304,Varieties of English
ENGL 4310,His of English Language
ENGL 4311,Language Socialization
ENGL 4315,Sociolinguistics
ENGL 4319,English in the Secondary Schools
ENGL 4322,Grammar & Usage
ENGL 4330,European Renaissance
ENGL 4332,Modern and Contemporary Poetry
ENGL 4340,Feminist Criticism and Theory
ENGL 4341,Queer Theory
ENGL 4342,Gender and Writing
ENGL 4343,Writing Houston: Reading and Researching Our City
ENGL 4352,Nonfiction Writing
ENGL 4357,Nonfiction Forms
ENGL 4358,Senior Writing Projects in Creative Writing: Nonfiction
ENGL 4360,Bible As Literature
ENGL 4364,Minorities in Lit
ENGL 4366,Intro To Folklore
ENGL 4367,Documenting Community Culture
ENGL 4370,Literature and the Law
ENGL 4371,Literature and Medicine
ENGL 4372,Literature and the Environment
ENGL 4373,"Film, Text, and Politics"
ENGL 4374,Literature and Alienation: Alienation Then and Now
ENGL 4375,Literature & Popular Culture
ENGL 4376,Robin Hood in Culture
ENGL 4378,Women Writers
ENGL 4380,Greek Classics in Translation
ENGL 4381,Latin Classics in Translation
ENGL 4382,Poetry Writing
ENGL 4383,Poetic Forms
ENGL 4384,Senior Writing Projects in Creative Writing: Poetry
ENGL 4385,Fiction Forms
ENGL 4386,Short Story Writing
ENGL 4387,Senior Writing Projects in Creative Writing: Fiction
ENGL 4390,Professional Internship
ENGL 4391,Senior Seminar: Advanced Community Engagement
ENGL 4392,Practicum: Teaching English as an Additional Language
ENGL 4394,Topics in the Historical Novel
ENGL 4395,Advanced Topics in Creative Writing
ENGL 4396,Senior Experience Seminar Topics
ENGL 4397,"Topics in Film, Literature, and Culture"
ENGL 4398,Independent Study
ENGL 4399,Senior Honors Thesis
ENTR 3310,Entrepreneurship
ENTR 3311,Technology Entrepreneurship
ENTR 3312,Corporate Entrepreneurship
ENTR 3321,Social Entrepreneurship
ENTR 3341,Family Business
ENTR 3342,Women in Entrepreneurship
ENTR 4110,Entrepreneurial Values and Leadership
ENTR 4320,Entrepreneurial Revenue
ENTR 4330,Entrepreneurial Costs and Budgets
ENTR 4340,Entrepreneurial Capital
ENTR 4350,Entrepreneurial Strategy
ENTR 4360,Business Plan and Implementation
ENTR 4380,Venture Fund
ENTR 4393,RED Labs Pre-accelerator
ENTR 4394,RED Labs Accelerator
ENTR 4396,Entrepreneurship Internship
ENTR 4397,Sel Topics in Entrepreneurship
ENTR 4398,Independent Study in Entrepreneurship
ETHN 2300,Introduction to Ethnic Studies
CORE 1101,College Success
FINA 3332,Principles of Financial Management
FINA 4310,Behavioral Finance
FINA 4320,Investment Management
FINA 4323,Investments and Mutual Fund Management
FINA 4325,Retirement and Estate Planning
FINA 4326,Private Equity and Investment Banking
FINA 4328,Principles of Personal Finance
FINA 4329,Life Insurance and Annuities
FINA 4330,Corporate Finance
FINA 4334,Managerial Analysis
FINA 4335,Brainstorming to Bankrolling
FINA 4336,Consulting to Meet Small Business Needs
FINA 4341,Commercial Bank Management
FINA 4342,Financial Evaluation of Corporate Reports
FINA 4343,Credit Analysis
FINA 4350,Derivatives I: Options
FINA 4351,"Derivatives II: Forwards, Futures and Swaps"
FINA 4352,Financial Planning for Professionals
FINA 4353,Practicum in Personal Financial Planning
FINA 4354,Risk Management
FINA 4355,International Risk Management
FINA 4356,Insurance Operations
FINA 4357,Commercial Liability
FINA 4358,Commercial Property
FINA 4359,Energy Insurance and Risk Management
FINA 4360,International Financial Management
FINA 4370,Energy Trading
FINA 4371,Energy Value Chain
FINA 4372,Upstream Economics
FINA 4373,Petrochemical and Refining Economics
FINA 4374,Energy Analysis
FINA 4376,Energy Trading Systems
FINA 4377,Risk Financing
FINA 4380,Real Estate Finance and Investment
FINA 4381,Essentials of Real Estate Principles
FINA 4382,Developing a Real Estate Project
FINA 4383,Real Estate Market Research and Valuation
FINA 4384,Real Estate Financial Modeling
FINA 4385,Mastery of Real Estate
FINA 4389,Multifamily Real Estate
FINA 4396,Finance Internship
FINA 4397,Selected Topics in Finance
FINA 4398,Independent Study
FINA 4399,Senior Honor Thesis
FREN 1501,Elementary French I
FREN 1502,Elementary French II
FREN 2311,Intermediate French I
FREN 2312,Intermediate French II
FREN 3311,French Phonetics
FREN 3312,Oral Communication
FREN 3313,Advanced Grammar & Comp
FREN 3315,Practical Translation
FREN 3316,Survey of French Culture/Civ
FREN 3317,Business French
FREN 3318,History of French Cinema
FREN 3319,History of the French Cinema
FREN 3320,Introduction to French Literature
FREN 3321,Francophone African Cinema
FREN 3322,Francophone African Cinema
FREN 3331,The Life of Words
FREN 3334,Gastronomy in French History
FREN 3335,French Popular Music
FREN 3340,Contemporary French Society
FREN 3341,Women in French Cinema
FREN 3350,Introduction to Francophone Literature
FREN 3351,The Francophone World
FREN 3352,Youth in Francophone Film
FREN 3362,Paris-Berlin: Tales of Two Cities
FREN 3364,Writing Holocausts: The Literatures of Genocide
FREN 3397,Sel Topics in French
FREN 3398,Independent Study
FREN 3399,Senior Honors Thesis
FREN 4315,Advanced Translation
FREN 4316,Contemporary France
FREN 4317,Advanced Business French
FREN 4326,Nineteenth Century French Literature
FREN 4328,Twentieth Century French Literature
FREN 4329,Twentieth Century French Novel
